dsc_cidade,nota,data_ref
"Uberaba","9.80955139188656","2011-12-31"
"Rio Crespo","10","2011-12-31"
"Itaara","10","2011-12-31"
"Agudos do Sul","10","2011-12-31"
"Baião","5.93055297659529","2011-12-31"
"Vargem Alegre","9.64020288221685","2011-12-31"
"Mirador","5.59928392250174","2011-12-31"
"Desterro","5.62601919965573","2011-12-31"
"Matozinhos","8.32324340021576","2011-12-31"
"Novo Horizonte do Norte","7.70074792772643","2011-12-31"
"Fama","10","2011-12-31"
"Jacuípe","7.92255149470722","2011-12-31"
"Peixe-Boi","7.07317479104103","2011-12-31"
"Ipubi","5.8777608938496","2011-12-31"
"Ferraz de Vasconcelos","7.26198699087781","2011-12-31"
"Itaquara","6.54340408765398","2011-12-31"
"Alpercata","10","2011-12-31"
"Olímpio Noronha","6.46356034268317","2011-12-31"
"Fartura do Piauí","6.2883173092378","2011-12-31"
"Sumé","8.4690776622862","2011-12-31"
"Jaboticaba","6.75221421961572","2011-12-31"
"Vitória Brasil","8.3602906181445","2011-12-31"
"Tarumã","10","2011-12-31"
"Itapiranga","5.79022614583523","2011-12-31"
"Mineiros do Tietê","10","2011-12-31"
"Canaã dos Carajás","7.3156987756009","2011-12-31"
"Passo do Sobrado","10","2011-12-31"
"Pracinha","7.41609752642672","2011-12-31"
"Jaramataia","6.48384639468884","2011-12-31"
"Cuitegi","8.15816878226566","2011-12-31"
"Novo Santo Antônio","7.30798081458275","2011-12-31"
"Mairipotaba","7.89681810875547","2011-12-31"
"Jundiaí do Sul","10","2011-12-31"
"Picada Café","9.55189058332888","2011-12-31"
"Bragança Paulista","10","2011-12-31"
"Santo Antônio do Planalto","10","2011-12-31"
"Espírito Santo do Pinhal","7.51648146148282","2011-12-31"
"Riversul","10","2011-12-31"
"Barra do Guarita","10","2011-12-31"
"Alcântara","5.41388675263754","2011-12-31"
"Murutinga do Sul","10","2011-12-31"
"Guabiruba","10","2011-12-31"
"Ibiara","7.63542352618849","2011-12-31"
"Filadélfia","8.87498975837974","2011-12-31"
"Rio do Pires","3.69156772769635","2011-12-31"
"Panambi","10","2011-12-31"
"Santana do Piauí","4.76252260230359","2011-12-31"
"Ouro Branco","7.94094276435169","2011-12-31"
"São João do Manteninha","9.03008398109036","2011-12-31"
"Arroio do Padre","9.25022172395951","2011-12-31"
"São Domingos","10","2011-12-31"
"Chiador","6.23661306808727","2011-12-31"
"Presidente Vargas","6.01949392494118","2011-12-31"
"Palmitos","9.76026487545011","2011-12-31"
"Turiúba","6.24656917115946","2011-12-31"
"Pau Brasil","6.13624809381448","2011-12-31"
"Santa Tereza do Tocantins","10","2011-12-31"
"Campo Alegre","5.81916134592321","2011-12-31"
"Mutunópolis","10","2011-12-31"
"Campestre de Goiás","8.74085363317316","2011-12-31"
"Barroso","8.16687033641838","2011-12-31"
"Itamogi","7.04021894860789","2011-12-31"
"Santo Antônio do Jacinto","7.33640089696547","2011-12-31"
"Viçosa do Ceará","6.64656870256733","2011-12-31"
"Itanhém","7.49203332969474","2011-12-31"
