"dsc_cidade","populacao"
"Dom Cavati (MG)","5048"
"Dom Joaquim (MG)","4451"
"Dom Silvério (MG)","5232"
"Dom Viçoso (MG)","2997"
"Dona Eusébia (MG)","6619"
"Dores de Campos (MG)","10223"
"Dores de Guanhães (MG)","5154"
"Dores do Indaiá (MG)","13427"
"Dores do Turvo (MG)","4230"
"Doresópolis (MG)","1533"
"Douradoquara (MG)","1912"
"Durandé (MG)","7870"
"Elói Mendes (MG)","28320"
"Engenheiro Caldas (MG)","11202"
"Engenheiro Navarro (MG)","7241"
"Entre Folhas (MG)","5377"
"Entre Rios de Minas (MG)","15380"
"Ervália (MG)","18958"
"Esmeraldas (MG)","71551"
"Espera Feliz (MG)","25122"
"Espinosa (MG)","31610"
"Espírito Santo do Dourado (MG)","4710"
"Estiva (MG)","11386"
"Estrela Dalva (MG)","2325"
"Estrela do Indaiá (MG)","3491"
"Estrela do Sul (MG)","8018"
"Eugenópolis (MG)","11330"
"Ewbank da Câmara (MG)","3923"
"Extrema (MG)","36951"
"Fama (MG)","2376"
"Faria Lemos (MG)","3221"
"Felício dos Santos (MG)","4704"
"São Gonçalo do Rio Preto (MG)","3173"
"Felisburgo (MG)","7504"
"Felixlândia (MG)","15433"
"Fernandes Tourinho (MG)","3466"
"Ferros (MG)","9696"
"Fervedouro (MG)","11054"
"Florestal (MG)","7533"
"Formiga (MG)","67822"
"Formoso (MG)","9688"
"Fortaleza de Minas (MG)","4437"
"Fortuna de Minas (MG)","2967"
"Francisco Badaró (MG)","10321"
"Francisco Dumont (MG)","5242"
"Francisco Sá (MG)","26369"
"Franciscópolis (MG)","5338"
"Frei Gaspar (MG)","5869"
"Frei Inocêncio (MG)","9664"
"Frei Lagonegro (MG)","3487"
"Fronteira (MG)","18492"
"Fronteira dos Vales (MG)","4561"
"Fruta de Leite (MG)","5299"
"Frutal (MG)","60012"
"Funilândia (MG)","4392"
"Galiléia (MG)","6790"
"Gameleiras (MG)","5096"
"Glaucilândia (MG)","3164"
"Goiabeira (MG)","3378"
"Goianá (MG)","3990"
"Gonçalves (MG)","4355"
"Gonzaga (MG)","6171"
"Gouveia (MG)","11818"
"Governador Valadares (MG)","281046"
"Grão Mogol (MG)","15890"
"Grupiara (MG)","1387"
"Guanhães (MG)","34573"
"Guapé (MG)","14258"
"Guaraciaba (MG)","10315"
"Guaraciama (MG)","4989"
"Guaranésia (MG)","19017"
"Guarani (MG)","8918"
"Guarará (MG)","3775"
"Guarda-Mor (MG)","6569"
"Guaxupé (MG)","52078"
"Guidoval (MG)","7051"
"Guimarânia (MG)","8105"
"Guiricema (MG)","8343"
"Gurinhatã (MG)","5577"
"Heliodora (MG)","6591"
"Iapu (MG)","11045"
"Ibertioga (MG)","5010"
"Ibiá (MG)","25358"
"Ibiaí (MG)","8437"
"Ibiracatu (MG)","5369"
"Ibiraci (MG)","13986"
"Ibirité (MG)","182153"
"Ibitiúra de Minas (MG)","3492"
"Ibituruna (MG)","2996"
"Icaraí de Minas (MG)","12097"
"Igarapé (MG)","43817"
"Igaratinga (MG)","11005"
"Iguatama (MG)","7923"
"Ijaci (MG)","6610"
"Ilicínea (MG)","12444"
"Imbé de Minas (MG)","6940"
"Inconfidentes (MG)","7358"
"Indaiabira (MG)","7339"
"Indianópolis (MG)","6951"
"Ingaí (MG)","2776"
"Inhapim (MG)","24079"
"Inhaúma (MG)","6312"
"Inimutaba (MG)","7560"
"Ipaba (MG)","18769"
"Ipanema (MG)","20000"
"Ipatinga (MG)","265409"
"Ipiaçu (MG)","4225"
"Ipuiúna (MG)","10118"
"Iraí de Minas (MG)","7027"
"Itabira (MG)","120904"
"Itabirinha (MG)","11576"
"Itabirito (MG)","52446"
"Itacambira (MG)","5417"
"Itacarambi (MG)","18164"
"Itaguara (MG)","13435"
"Itaipé (MG)","12836"
"Itajubá (MG)","97334"
"Itamarandiba (MG)","34936"
"Itamarati de Minas (MG)","4375"
"Itambacuri (MG)","23209"
"Itambé do Mato Dentro (MG)","2056"
"Itamogi (MG)","10157"
"Itamonte (MG)","15714"
"Itanhandu (MG)","15423"
"Itanhomi (MG)","12244"
"Itaobim (MG)","21029"
"Itapagipe (MG)","15379"
"Itapecerica (MG)","21761"
"Itapeva (MG)","9881"
"Itatiaiuçu (MG)","11252"
"Itaú de Minas (MG)","16199"
"Itaúna (MG)","93847"
"Itaverava (MG)","5369"
"Itinga (MG)","15022"
"Itueta (MG)","6063"
"Ituiutaba (MG)","105255"
"Itumirim (MG)","6000"
"Iturama (MG)","39690"
"Itutinga (MG)","3768"
"Jaboticatubas (MG)","20418"
"Jacinto (MG)","12323"
"Jacuí (MG)","7691"
"Jacutinga (MG)","26264"
"Jaguaraçu (MG)","3142"
"Jaíba (MG)","39388"
"Jampruca (MG)","5429"
"Janaúba (MG)","72018"
"Januária (MG)","67852"
"Japaraíba (MG)","4384"
"Japonvar (MG)","7982"
"Jeceaba (MG)","4852"
"Jenipapo de Minas (MG)","7738"
"Jequeri (MG)","12315"
"Jequitaí (MG)","7468"
"Jequitibá (MG)","5207"
"Jequitinhonha (MG)","25474"
"Jesuânia (MG)","4780"
"Joaíma (MG)","15455"
"Joanésia (MG)","4476"
"João Monlevade (MG)","80416"
"João Pinheiro (MG)","47726"
"Joaquim Felício (MG)","4727"
"Jordânia (MG)","10842"
"José Gonçalves de Minas (MG)","4487"
"José Raydan (MG)","5050"
"Josenópolis (MG)","4889"
"Nova União (MG)","5732"
"Juatuba (MG)","27392"
"Juiz de Fora (MG)","573285"
"Juramento (MG)","4345"
"Juruaia (MG)","10681"
"Juvenília (MG)","5715"
"Ladainha (MG)","18193"
"Lagamar (MG)","7600"
"Lagoa da Prata (MG)","52711"
"Lagoa dos Patos (MG)","4082"
"Lagoa Dourada (MG)","13063"
"Lagoa Formosa (MG)","18111"
"Lagoa Grande (MG)","9608"
"Lagoa Santa (MG)","65657"
"Lajinha (MG)","19918"
"Lambari (MG)","20907"
"Lamim (MG)","3379"
"Laranjal (MG)","6833"
"Lassance (MG)","6503"
"Lavras (MG)","104783"
"Leandro Ferreira (MG)","3226"
"Leme do Prado (MG)","4920"
"Leopoldina (MG)","52640"
"Liberdade (MG)","5031"
"Lima Duarte (MG)","16724"
"Limeira do Oeste (MG)","7589"
"Lontra (MG)","9714"
"Luisburgo (MG)","6258"
"Luislândia (MG)","6718"
"Luminárias (MG)","5438"
"Luz (MG)","18257"
"Machacalis (MG)","7111"
"Machado (MG)","42413"
"Madre de Deus de Minas (MG)","5109"
"Malacacheta (MG)","18602"
"Mamonas (MG)","6554"
"Manga (MG)","18226"
"Manhuaçu (MG)","91169"
"Manhumirim (MG)","22802"
"Mantena (MG)","27647"
"Maravilhas (MG)","8046"
"Mar de Espanha (MG)","12901"
"Maria da Fé (MG)","14056"
"Mariana (MG)","61288"
"Marilac (MG)","4097"
"Mário Campos (MG)","15619"
"Maripá de Minas (MG)","2987"
"Marliéria (MG)","4034"
"Marmelópolis (MG)","2728"
"Martinho Campos (MG)","13443"
"Martins Soares (MG)","8531"
"Mata Verde (MG)","8644"
"Materlândia (MG)","4436"
"Mateus Leme (MG)","31364"
"Matias Barbosa (MG)","14548"
"Matias Cardoso (MG)","11260"
"Matipó (MG)","19005"
"Mato Verde (MG)","12412"
"Matozinhos (MG)","38151"
"Matutina (MG)","3741"
"Medeiros (MG)","3832"
"Medina (MG)","20759"
"Mendes Pimentel (MG)","6446"
"Mercês (MG)","10758"
"Mesquita (MG)","5546"
"Minas Novas (MG)","31497"
"Minduri (MG)","3893"
"Mirabela (MG)","13620"
"Miradouro (MG)","10787"
"Miraí (MG)","15111"
"Miravânia (MG)","4914"
"Moeda (MG)","4934"
"Moema (MG)","7554"
"Monjolos (MG)","2202"
"Monsenhor Paulo (MG)","8727"
"Montalvânia (MG)","14747"
"Monte Alegre de Minas (MG)","21236"
"Monte Azul (MG)","20696"
"Monte Belo (MG)","13152"
"Monte Carmelo (MG)","47931"
"Monte Formoso (MG)","4923"
"Monte Santo de Minas (MG)","21513"
"Montes Claros (MG)","413487"
"Monte Sião (MG)","24029"
"Montezuma (MG)","8315"
"Morada Nova de Minas (MG)","8910"
"Morro da Garça (MG)","2437"
"Morro do Pilar (MG)","3153"
"Munhoz (MG)","5994"
"Muriaé (MG)","109392"
"Mutum (MG)","26961"
"Muzambinho (MG)","20545"
"Nacip Raydan (MG)","3220"
"Nanuque (MG)","40665"
"Naque (MG)","7051"
"Natalândia (MG)","3308"
"Natércia (MG)","4728"
"Nazareno (MG)","8660"
"Nepomuceno (MG)","26826"
"Ninheira (MG)","10326"
"Nova Belém (MG)","3128"
"Nova Era (MG)","17551"
"Nova Lima (MG)","96157"
"Nova Módica (MG)","3573"
"Nova Ponte (MG)","15800"
"Nova Porteirinha (MG)","7497"
"Nova Resende (MG)","16832"
"Nova Serrana (MG)","105520"
"Novo Cruzeiro (MG)","31335"
"Novo Oriente de Minas (MG)","10778"
"Novorizonte (MG)","5324"
"Olaria (MG)","1720"
"Olhos-d'Água (MG)","6171"
"Olímpio Noronha (MG)","2809"
"Oliveira (MG)","41840"
"Oliveira Fortes (MG)","2130"
"Onça de Pitangui (MG)","3152"
"Oratórios (MG)","4663"
"Orizânia (MG)","8079"
"Ouro Branco (MG)","39867"
"Ouro Fino (MG)","33791"
"Ouro Preto (MG)","74558"
"Ouro Verde de Minas (MG)","5914"
"Padre Carvalho (MG)","6423"
"Padre Paraíso (MG)","20252"
"Paineiras (MG)","4462"
"Pains (MG)","8296"
"Pai Pedro (MG)","6094"
"Paiva (MG)","1523"
"Palma (MG)","6611"
"Palmópolis (MG)","5349"
"Papagaios (MG)","15800"
"Paracatu (MG)","93862"
"Pará de Minas (MG)","94808"
"Paraguaçu (MG)","21605"
"Paraisópolis (MG)","21221"
"Paraopeba (MG)","24700"
"Passabém (MG)","1633"
"Passa Quatro (MG)","16393"
"Passa Tempo (MG)","8057"
"Passa Vinte (MG)","2031"
"Passos (MG)","115337"
"Patis (MG)","6002"
"Patos de Minas (MG)","153585"
"Patrocínio (MG)","91449"
"Patrocínio do Muriaé (MG)","5715"
"Paula Cândido (MG)","9584"
"Paulistas (MG)","4812"
"Pavão (MG)","8419"
"Peçanha (MG)","17537"
"Pedra Azul (MG)","24329"
"Pedra Bonita (MG)","7128"
"Pedra do Anta (MG)","3005"
"Pedra do Indaiá (MG)","3974"
"Pedra Dourada (MG)","2532"
"Pedralva (MG)","11146"
"Pedras de Maria da Cruz (MG)","12212"
"Pedrinópolis (MG)","3643"
"Pedro Leopoldo (MG)","64712"
"Pedro Teixeira (MG)","1806"
"Pequeri (MG)","3330"
"Pequi (MG)","4432"
"Perdigão (MG)","11755"
"Perdizes (MG)","16321"
"Perdões (MG)","21485"
"Periquito (MG)","6773"
"Pescador (MG)","4256"
"Piau (MG)","2733"
"Piedade de Caratinga (MG)","8702"
"Piedade de Ponte Nova (MG)","4140"
"Piedade do Rio Grande (MG)","4466"
"Piedade dos Gerais (MG)","5009"
"Pimenta (MG)","8688"
"Pingo d'Água (MG)","4986"
"Pintópolis (MG)","7524"
"Piracema (MG)","6398"
"Pirajuba (MG)","6348"
"Piranga (MG)","17634"
"Piranguçu (MG)","5488"
"Piranguinho (MG)","8640"
"Pirapetinga (MG)","10772"
"Pirapora (MG)","56640"
"Piraúba (MG)","10759"
"Pitangui (MG)","28215"
"Piumhi (MG)","34918"
"Planura (MG)","12292"
"Poço Fundo (MG)","16846"
"Poços de Caldas (MG)","168641"
"Pocrane (MG)","8359"
"Pompéu (MG)","32035"
"Ponte Nova (MG)","59875"
"Ponto Chique (MG)","4283"
"Ponto dos Volantes (MG)","12179"
"Porteirinha (MG)","37864"
"Porto Firme (MG)","11348"
"Poté (MG)","16616"
"Pouso Alegre (MG)","152549"
"Pouso Alto (MG)","5900"
"Prados (MG)","9080"
"Prata (MG)","28017"
"Pratápolis (MG)","8566"
"Pratinha (MG)","3631"
"Presidente Bernardes (MG)","5341"
"Presidente Juscelino (MG)","3606"
"Presidente Kubitschek (MG)","3001"
"Presidente Olegário (MG)","19627"
"Alto Jequitibá (MG)","8301"
"Prudente de Morais (MG)","10834"
"Quartel Geral (MG)","3584"
"Queluzito (MG)","1943"
"Raposos (MG)","16429"
"Raul Soares (MG)","23711"
"Recreio (MG)","10520"
"Reduto (MG)","7201"
"Resende Costa (MG)","11540"
"Resplendor (MG)","17396"
"Ressaquinha (MG)","4817"
"Riachinho (MG)","8134"
"Riacho dos Machados (MG)","9476"
"Ribeirão das Neves (MG)","338197"
"Ribeirão Vermelho (MG)","4047"
"Rio Acima (MG)","10420"
"Rio Casca (MG)","13473"
"Rio Doce (MG)","2620"
"Rio do Prado (MG)","5133"
"Rio Espera (MG)","5402"
"Rio Manso (MG)","5879"
"Rio Novo (MG)","8957"
"Rio Paranaíba (MG)","12335"
"Rio Pardo de Minas (MG)","31045"
"Rio Piracicaba (MG)","14332"
"Rio Pomba (MG)","17959"
"Rio Preto (MG)","5485"
"Rio Vermelho (MG)","12739"
"Ritápolis (MG)","4562"
"Rochedo de Minas (MG)","2320"
"Rodeiro (MG)","8224"
"Romaria (MG)","3520"
"Rosário da Limeira (MG)","4622"
"Rubelita (MG)","5798"
"Rubim (MG)","10256"
"Sabará (MG)","137125"
"Sabinópolis (MG)","15416"
"Sacramento (MG)","26374"
"Salinas (MG)","41699"
"Salto da Divisa (MG)","7012"
"Santa Bárbara (MG)","31604"
"Santa Bárbara do Leste (MG)","8181"
"Santa Bárbara do Monte Verde (MG)","3182"
"Santa Bárbara do Tugúrio (MG)","4407"
"Santa Cruz de Minas (MG)","8664"
"Santa Cruz de Salinas (MG)","4107"
"Santa Cruz do Escalvado (MG)","4725"
"Santa Efigênia de Minas (MG)","4381"
"Santa Fé de Minas (MG)","3826"
"Santa Helena de Minas (MG)","6386"
"Santa Juliana (MG)","14255"
"Santa Luzia (MG)","220444"
"Santa Margarida (MG)","16302"
"Santa Maria de Itabira (MG)","10857"
"Santa Maria do Salto (MG)","5217"
"Santa Maria do Suaçuí (MG)","14611"
"Santana da Vargem (MG)","7073"
"Santana de Cataguases (MG)","3891"
"Santana de Pirapama (MG)","7589"
"Santana do Deserto (MG)","3981"
"Santana do Garambéu (MG)","2476"
"Santana do Jacaré (MG)","4834"
"Santana do Manhuaçu (MG)","8667"
"Santana do Paraíso (MG)","35369"
"Santana do Riacho (MG)","4315"
"Santana dos Montes (MG)","3765"
"Santa Rita de Caldas (MG)","8924"
"Santa Rita de Jacutinga (MG)","4863"
"Santa Rita de Minas (MG)","7268"
"Santa Rita de Ibitipoca (MG)","3402"
"Santa Rita do Itueto (MG)","5457"
"Santa Rita do Sapucaí (MG)","43753"
"Santa Rosa da Serra (MG)","3357"
"Santa Vitória (MG)","19872"
"Santo Antônio do Amparo (MG)","18613"
"Santo Antônio do Aventureiro (MG)","3602"
"Santo Antônio do Grama (MG)","3886"
"Santo Antônio do Itambé (MG)","3799"
"Santo Antônio do Jacinto (MG)","11604"
"Santo Antônio do Monte (MG)","28427"
"Santo Antônio do Retiro (MG)","7297"
"Santo Antônio do Rio Abaixo (MG)","1760"
"Santo Hipólito (MG)","3065"
"Santos Dumont (MG)","46421"
"São Bento Abade (MG)","5349"
"São Brás do Suaçuí (MG)","3754"
"São Domingos das Dores (MG)","5658"
"São Domingos do Prata (MG)","17327"
"São Félix de Minas (MG)","3362"
"São Francisco (MG)","56477"
"São Francisco de Paula (MG)","6520"
"São Francisco de Sales (MG)","6274"
"São Francisco do Glória (MG)","4800"
"São Geraldo (MG)","12562"
"São Geraldo da Piedade (MG)","3910"
"São Geraldo do Baixio (MG)","4059"
"São Gonçalo do Abaeté (MG)","8459"
"São Gonçalo do Pará (MG)","12597"
"São Gonçalo do Rio Abaixo (MG)","11019"
"São Gonçalo do Sapucaí (MG)","25561"
"São Gotardo (MG)","35782"
"São João Batista do Glória (MG)","7498"
"São João da Lagoa (MG)","4932"
"São João da Mata (MG)","2746"
"São João da Ponte (MG)","25098"
"São João das Missões (MG)","13125"
"São João del Rei (MG)","90497"
"São João do Manhuaçu (MG)","11674"
"São João do Manteninha (MG)","5918"
"São João do Oriente (MG)","7444"
"São João do Pacuí (MG)","4448"
"São João do Paraíso (MG)","23709"
"São João Evangelista (MG)","15767"
"São João Nepomuceno (MG)","26447"
"São Joaquim de Bicas (MG)","32148"
"São José da Barra (MG)","7480"
"São José da Lapa (MG)","24135"
"São José da Safira (MG)","4280"
"São José da Varginha (MG)","5079"
"São José do Alegre (MG)","4210"
"São José do Divino (MG)","3856"
"São José do Goiabal (MG)","5387"
"São José do Jacuri (MG)","6431"
"São José do Mantimento (MG)","2806"
"São Lourenço (MG)","46202"
"São Miguel do Anta (MG)","6944"
"São Pedro da União (MG)","4610"
"São Pedro dos Ferros (MG)","7706"
"São Pedro do Suaçuí (MG)","5202"
"São Romão (MG)","12529"
"São Roque de Minas (MG)","7076"
"São Sebastião da Bela Vista (MG)","5552"
"São Sebastião da Vargem Alegre (MG)","3024"
"São Sebastião do Anta (MG)","6627"
"São Sebastião do Maranhão (MG)","9963"
"São Sebastião do Oeste (MG)","6863"
"São Sebastião do Paraíso (MG)","71445"
"São Sebastião do Rio Preto (MG)","1492"
"São Sebastião do Rio Verde (MG)","2250"
"São Tiago (MG)","10960"
"São Tomás de Aquino (MG)","7000"
"São Thomé das Letras (MG)","7120"
"São Vicente de Minas (MG)","7815"
"Sapucaí-Mirim (MG)","6989"
"Sardoá (MG)","6361"
"Sarzedo (MG)","33413"
"Setubinha (MG)","12378"
"Sem-Peixe (MG)","2606"
"Senador Amaral (MG)","5361"
"Senador Cortes (MG)","2003"
"Senador Firmino (MG)","7858"
"Senador José Bento (MG)","1461"
"Senador Modestino Gonçalves (MG)","4105"
"Senhora de Oliveira (MG)","5786"
"Senhora do Porto (MG)","3519"
"Senhora dos Remédios (MG)","10467"
"Sericita (MG)","7333"
"Seritinga (MG)","1854"
"Serra Azul de Minas (MG)","4292"
"Serra da Saudade (MG)","776"
"Serra dos Aimorés (MG)","8713"
"Serra do Salitre (MG)","11668"
"Serrania (MG)","7668"
"Serranópolis de Minas (MG)","4809"
"Serranos (MG)","1956"
"Serro (MG)","20940"
"Sete Lagoas (MG)","241835"
"Silveirânia (MG)","2264"
"Silvianópolis (MG)","6248"
"Simão Pereira (MG)","2618"
"Simonésia (MG)","19736"
"Sobrália (MG)","5514"
"Soledade de Minas (MG)","6189"
"Tabuleiro (MG)","3708"
"Taiobeiras (MG)","34397"
"Taparuba (MG)","3101"
"Tapira (MG)","4832"
"Tapiraí (MG)","1872"
"Taquaraçu de Minas (MG)","4099"
"Tarumirim (MG)","14302"
"Teixeiras (MG)","11670"
"Teófilo Otoni (MG)","140937"
"Timóteo (MG)","90568"
"Tiradentes (MG)","8072"
"Tiros (MG)","6424"
"Tocantins (MG)","16715"
"Tocos do Moji (MG)","4109"
"Toledo (MG)","6297"
"Tombos (MG)","7850"
"Três Corações (MG)","80032"
"Três Marias (MG)","32716"
"Três Pontas (MG)","56940"
"Tumiritinga (MG)","6765"
"Tupaciguara (MG)","25398"
"Turmalina (MG)","20125"
"Turvolândia (MG)","5070"
"Ubá (MG)","116797"
"Ubaí (MG)","12599"
"Ubaporanga (MG)","12493"
"Uberaba (MG)","337092"
"Uberlândia (MG)","699097"
"Umburatiba (MG)","2596"
"Unaí (MG)","84930"
"União de Minas (MG)","4284"
"Uruana de Minas (MG)","3260"
"Urucânia (MG)","10345"
"Urucuia (MG)","17173"
"Vargem Alegre (MG)","6470"
"Vargem Bonita (MG)","2148"
"Vargem Grande do Rio Pardo (MG)","5026"
"Varginha (MG)","136602"
"Varjão de Minas (MG)","7138"
"Várzea da Palma (MG)","39803"
"Varzelândia (MG)","19305"
"Vazante (MG)","20642"
"Verdelândia (MG)","9443"
"Veredinha (MG)","5727"
"Veríssimo (MG)","4045"
"Vermelho Novo (MG)","4846"
"Vespasiano (MG)","129765"
"Viçosa (MG)","79388"
"Vieiras (MG)","3589"
"Mathias Lobato (MG)","3179"
"Virgem da Lapa (MG)","13740"
"Virgínia (MG)","8663"
"Virginópolis (MG)","10484"
"Virgolândia (MG)","5340"
"Visconde do Rio Branco (MG)","42965"
"Volta Grande (MG)","5261"
"Wenceslau Braz (MG)","2548"
"Afonso Cláudio (ES)","30455"
"Águia Branca (ES)","9631"
"Água Doce do Norte (ES)","10909"
"Alegre (ES)","29975"
"Alfredo Chaves (ES)","14636"
"Alto Rio Novo (ES)","7874"
"Anchieta (ES)","29779"
"Apiacá (ES)","7554"
"Aracruz (ES)","103101"
"Atílio Vivacqua (ES)","12105"
"Baixo Guandu (ES)","31132"
"Barra de São Francisco (ES)","44979"
"Boa Esperança (ES)","15092"
"Bom Jesus do Norte (ES)","9962"
"Brejetuba (ES)","12427"
"Cachoeiro de Itapemirim (ES)","210589"
"Cariacica (ES)","383917"
"Castelo (ES)","37747"
"Colatina (ES)","123400"
"Conceição da Barra (ES)","31273"
"Conceição do Castelo (ES)","12806"
"Divino de São Lourenço (ES)","4270"
"Domingos Martins (ES)","33986"
"Dores do Rio Preto (ES)","6771"
"Ecoporanga (ES)","22835"
"Fundão (ES)","21948"
"Governador Lindenberg (ES)","12880"
"Guaçuí (ES)","31122"
"Guarapari (ES)","126701"
"Ibatiba (ES)","26426"
"Ibiraçu (ES)","12591"
"Ibitirama (ES)","8859"
"Iconha (ES)","13973"
"Irupi (ES)","13526"
"Itaguaçu (ES)","14023"
"Itapemirim (ES)","34656"
"Itarana (ES)","10494"
"Iúna (ES)","29290"
"Jaguaré (ES)","31039"
"Jerônimo Monteiro (ES)","12265"
"João Neiva (ES)","16722"
"Laranja da Terra (ES)","10933"
"Linhares (ES)","176688"
"Mantenópolis (ES)","15503"
"Marataízes (ES)","38883"
"Marechal Floriano (ES)","16920"
"Marilândia (ES)","12963"
"Mimoso do Sul (ES)","26115"
"Montanha (ES)","18894"
"Mucurici (ES)","5496"
"Muniz Freire (ES)","17319"
"Muqui (ES)","15526"
"Nova Venécia (ES)","50434"
"Pancas (ES)","23306"
"Pedro Canário (ES)","26381"
"Pinheiros (ES)","27327"
"Piúma (ES)","22053"
"Ponto Belo (ES)","7940"
"Presidente Kennedy (ES)","11658"
"Rio Bananal (ES)","19271"
"Rio Novo do Sul (ES)","11626"
"Santa Leopoldina (ES)","12197"
"Santa Maria de Jetibá (ES)","41015"
"Santa Teresa (ES)","23724"
"São Domingos do Norte (ES)","8687"
"São Gabriel da Palha (ES)","38522"
"São José do Calçado (ES)","10546"
"São Mateus (ES)","132642"
"São Roque do Canaã (ES)","12510"
"Serra (ES)","527240"
"Sooretama (ES)","30680"
"Vargem Alta (ES)","21591"
"Venda Nova do Imigrante (ES)","25745"
"Viana (ES)","79500"
"Vila Pavão (ES)","9244"
"Vila Valério (ES)","14073"
"Vila Velha (ES)","501325"
"Vitória (ES)","365855"
"Angra dos Reis (RJ)","207044"
"Aperibé (RJ)","11901"
"Araruama (RJ)","134293"
"Areal (RJ)","12669"
"Armação dos Búzios (RJ)","34477"
"Arraial do Cabo (RJ)","30593"
"Barra do Piraí (RJ)","100764"
"Barra Mansa (RJ)","184833"
"Belford Roxo (RJ)","513118"
"Bom Jardim (RJ)","27616"
"Bom Jesus do Itabapoana (RJ)","37203"
"Cabo Frio (RJ)","230378"
"Cachoeiras de Macacu (RJ)","59303"
"Cambuci (RJ)","15514"
"Carapebus (RJ)","16586"
"Comendador Levy Gasparian (RJ)","8576"
"Campos dos Goytacazes (RJ)","511168"
"Cantagalo (RJ)","20168"
"Cardoso Moreira (RJ)","12821"
"Carmo (RJ)","19030"
"Casimiro de Abreu (RJ)","45041"
"Conceição de Macabu (RJ)","23398"
"Cordeiro (RJ)","22041"
"Duas Barras (RJ)","11528"
"Duque de Caxias (RJ)","924624"
"Engenheiro Paulo de Frontin (RJ)","14071"
"Guapimirim (RJ)","61388"
"Iguaba Grande (RJ)","28837"
"Itaboraí (RJ)","242543"
"Itaguaí (RJ)","134819"
"Italva (RJ)","15299"
"Itaocara (RJ)","23222"
"Itaperuna (RJ)","103800"
"Itatiaia (RJ)","32064"
"Japeri (RJ)","105548"
"Laje do Muriaé (RJ)","7326"
"Macaé (RJ)","261501"
"Macuco (RJ)","5623"
"Magé (RJ)","246433"
"Mangaratiba (RJ)","45220"
"Maricá (RJ)","164504"
"Mendes (RJ)","18648"
"Mesquita (RJ)","176569"
"Miguel Pereira (RJ)","25581"
"Miracema (RJ)","27154"
"Natividade (RJ)","15311"
"Nilópolis (RJ)","162693"
"Niterói (RJ)","515317"
"Nova Friburgo (RJ)","191158"
"Nova Iguaçu (RJ)","823302"
"Paracambi (RJ)","52683"
"Paraíba do Sul (RJ)","44518"
"Paraty (RJ)","43680"
"Paty do Alferes (RJ)","27858"
"Petrópolis (RJ)","306678"
"Pinheiral (RJ)","25364"
"Piraí (RJ)","29545"
"Porciúncula (RJ)","18960"
"Porto Real (RJ)","19974"
"Quatis (RJ)","14435"
"Queimados (RJ)","151335"
"Quissamã (RJ)","25126"
"Resende (RJ)","132312"
"Rio Bonito (RJ)","60573"
"Rio Claro (RJ)","18605"
"Rio das Flores (RJ)","9344"
"Rio das Ostras (RJ)","155193"
"Rio de Janeiro (RJ)","6747815"
"Santa Maria Madalena (RJ)","10392"
"Santo Antônio de Pádua (RJ)","42594"
"São Francisco de Itabapoana (RJ)","42210"
"São Fidélis (RJ)","38710"
"São Gonçalo (RJ)","1091737"
"São João da Barra (RJ)","36423"
"São João de Meriti (RJ)","472906"
"São José de Ubá (RJ)","7206"
"São José do Vale do Rio Preto (RJ)","21916"
"São Pedro da Aldeia (RJ)","106049"
"São Sebastião do Alto (RJ)","9387"
"Sapucaia (RJ)","18249"
"Saquarema (RJ)","90583"
"Seropédica (RJ)","83092"
"Silva Jardim (RJ)","21774"
"Sumidouro (RJ)","15667"
"Tanguá (RJ)","34610"
"Teresópolis (RJ)","184240"
"Trajano de Moraes (RJ)","10640"
"Três Rios (RJ)","82142"
"Valença (RJ)","76869"
"Varre-Sai (RJ)","11106"
"Vassouras (RJ)","37083"
"Volta Redonda (RJ)","273988"
"Adamantina (SP)","35111"
"Adolfo (SP)","3554"
"Aguaí (SP)","36648"
"Águas da Prata (SP)","8221"
"Águas de Lindóia (SP)","18808"
"Águas de Santa Bárbara (SP)","6109"
"Águas de São Pedro (SP)","3521"
"Agudos (SP)","37401"
"Alambari (SP)","6129"
"Alfredo Marcondes (SP)","4184"
"Altair (SP)","4186"
"Altinópolis (SP)","16203"
"Alto Alegre (SP)","4088"
"Alumínio (SP)","18767"
"Álvares Florence (SP)","3647"
"Álvares Machado (SP)","24998"
"Álvaro de Carvalho (SP)","5274"
"Alvinlândia (SP)","3237"
"Americana (SP)","242018"
"Américo Brasiliense (SP)","41032"
"Américo de Campos (SP)","5981"
"Amparo (SP)","72677"
"Analândia (SP)","5056"
"Andradina (SP)","57202"
"Angatuba (SP)","25479"
"Anhembi (SP)","6819"
"Anhumas (SP)","4144"
"Aparecida (SP)","36185"
"Aparecida d'Oeste (SP)","4158"
"Apiaí (SP)","24226"
"Araçariguama (SP)","22860"
"Araçatuba (SP)","198129"
"Araçoiaba da Serra (SP)","34776"
"Aramina (SP)","5655"
"Arandu (SP)","6365"
"Arapeí (SP)","2460"
"Araraquara (SP)","238339"
"Araras (SP)","135506"
"Arco-Íris (SP)","1773"
"Arealva (SP)","8613"
"Areias (SP)","3896"
"Areiópolis (SP)","11158"
"Ariranha (SP)","9761"
"Artur Nogueira (SP)","55340"
"Arujá (SP)","91157"
"Aspásia (SP)","1818"
"Assis (SP)","105087"
"Atibaia (SP)","144088"
"Auriflama (SP)","15253"
"Avaí (SP)","5436"
"Avanhandava (SP)","13859"
"Avaré (SP)","91232"
