"dsc_cidade","populacao"
"Carrasco Bonito (TO)","4130"
"Caseara (TO)","5442"
"Centenário (TO)","2936"
"Chapada de Areia (TO)","1410"
"Chapada da Natividade (TO)","3331"
"Colinas do Tocantins (TO)","35851"
"Combinado (TO)","4861"
"Conceição do Tocantins (TO)","4087"
"Couto Magalhães (TO)","5639"
"Cristalândia (TO)","7278"
"Crixás do Tocantins (TO)","1735"
"Darcinópolis (TO)","6174"
"Dianópolis (TO)","22424"
"Divinópolis do Tocantins (TO)","6943"
"Dois Irmãos do Tocantins (TO)","7185"
"Dueré (TO)","4686"
"Esperantina (TO)","11139"
"Fátima (TO)","3830"
"Figueirópolis (TO)","5243"
"Filadélfia (TO)","8874"
"Formoso do Araguaia (TO)","18399"
"Fortaleza do Tabocão (TO)","2602"
"Goianorte (TO)","5130"
"Goiatins (TO)","13095"
"Guaraí (TO)","26165"
"Gurupi (TO)","87545"
"Ipueiras (TO)","2052"
"Itacajá (TO)","7452"
"Itaguatins (TO)","5832"
"Itapiratins (TO)","3795"
"Itaporã do Tocantins (TO)","2420"
"Jaú do Tocantins (TO)","3878"
"Juarina (TO)","2184"
"Lagoa da Confusão (TO)","13676"
"Lagoa do Tocantins (TO)","4393"
"Lajeado (TO)","3167"
"Lavandeira (TO)","1954"
"Lizarda (TO)","3733"
"Luzinópolis (TO)","3154"
"Marianópolis do Tocantins (TO)","5254"
"Mateiros (TO)","2729"
"Maurilândia do Tocantins (TO)","3448"
"Miracema do Tocantins (TO)","17936"
"Miranorte (TO)","13493"
"Monte do Carmo (TO)","8066"
"Monte Santo do Tocantins (TO)","2295"
"Palmeiras do Tocantins (TO)","6745"
"Muricilândia (TO)","3587"
"Natividade (TO)","9250"
"Nazaré (TO)","3834"
"Nova Olinda (TO)","11917"
"Nova Rosalândia (TO)","4304"
"Novo Acordo (TO)","4397"
"Novo Alegre (TO)","2332"
"Novo Jardim (TO)","2745"
"Oliveira de Fátima (TO)","1118"
"Palmeirante (TO)","6131"
"Palmeirópolis (TO)","7676"
"Paraíso do Tocantins (TO)","51891"
"Paranã (TO)","10437"
"Pau D'Arco (TO)","4867"
"Pedro Afonso (TO)","13773"
"Peixe (TO)","11873"
"Pequizeiro (TO)","5512"
"Colméia (TO)","8141"
"Pindorama do Tocantins (TO)","4430"
"Piraquê (TO)","3033"
"Pium (TO)","7743"
"Ponte Alta do Bom Jesus (TO)","4591"
"Ponte Alta do Tocantins (TO)","8116"
